,age,education,activity_work,voted,voted_party,close_party,which_p_close,how_close,placement_l_r,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,stflife,stfeco,stfgov,stfdem,stfedu,stfhlth,gender,educational_level,political_trust
17214,47.0,17.0,1.0,1.0,5.0,2.0,66.0,6.0,8.0,8.0,9.0,8.0,8.0,7.0,8.0,8.0,10.0,7.0,6.0,6.0,6.0,7.0,Male,highly_educated,8.0
17215,75.0,13.0,6.0,1.0,18.0,1.0,18.0,1.0,7.0,4.0,6.0,7.0,4.0,5.0,5.0,5.0,8.0,6.0,5.0,6.0,5.0,7.0,Male,highly_educated,4.0
17216,51.0,17.0,1.0,1.0,7.0,1.0,7.0,3.0,4.0,5.0,9.0,9.0,2.0,6.0,5.0,6.0,8.0,6.0,3.0,5.0,7.0,8.0,Male,highly_educated,4.0
17217,30.0,10.0,8.0,1.0,3.2,2.0,66.0,6.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,9.0,8.0,7.0,8.0,6.0,8.0,Female,mid_educated,7.0
17218,83.0,7.0,6.0,1.0,5.0,2.0,66.0,6.0,8.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,10.0,6.0,5.0,6.0,7.0,7.0,Male,mid_educated,6.0
17219,74.0,5.0,6.0,1.0,1.0,2.0,66.0,6.0,10.0,5.0,6.0,9.0,3.0,3.0,3.0,8.0,10.0,5.0,5.0,5.0,6.0,8.0,Male,lower_educated,4.0
17220,85.0,2.0,6.0,2.0,3.0,2.0,66.0,6.0,5.6,6.0,6.0,8.0,6.0,6.0,8.0,6.0,6.2,5.0,5.0,5.0,8.0,8.0,Female,lower_educated,6.0
17221,33.0,10.0,1.0,2.0,17.0,1.0,17.0,3.0,3.0,0.0,3.0,8.0,4.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,1.0,5.0,Male,mid_educated,4.0
17222,24.0,7.0,1.0,1.0,10.0,2.0,66.0,6.0,5.0,6.0,5.0,8.0,5.0,6.0,4.0,4.0,8.0,7.0,5.0,7.0,3.0,4.0,Female,mid_educated,5.0
17223,52.0,16.0,1.0,1.0,6.0,2.0,66.0,6.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,6.0,8.0,8.0,8.0,Male,highly_educated,8.0
17224,55.0,3.0,1.0,2.0,13.6,2.0,66.0,6.0,4.6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,2.0,0.0,8.0,0.0,Female,lower_educated,0.0
17225,34.0,17.0,8.0,1.0,1.0,2.0,66.0,6.0,5.0,8.0,9.0,9.0,4.0,5.0,5.0,6.0,6.0,4.0,4.0,8.0,3.0,8.0,Female,highly_educated,6.0
17226,49.0,14.0,1.0,3.0,9.2,2.0,66.0,6.0,5.0,6.0,5.0,4.0,4.0,7.0,3.0,4.0,8.0,4.0,3.0,2.0,1.0,4.0,Female,highly_educated,5.0
17227,38.0,16.0,1.0,1.0,8.0,1.0,8.0,2.0,3.0,4.0,7.0,8.0,5.0,5.0,5.0,5.0,7.0,7.0,4.0,3.0,4.0,8.0,Female,highly_educated,5.0
17228,34.0,17.0,1.0,1.0,1.0,1.0,1.0,3.0,7.0,7.0,8.0,8.0,6.0,6.0,5.0,6.0,9.0,6.0,7.0,7.0,7.0,7.0,Male,highly_educated,6.0
17229,77.0,18.0,6.0,1.0,6.0,1.0,6.0,2.0,2.0,5.0,7.0,7.0,4.0,4.0,6.0,7.0,9.0,1.0,3.0,6.0,3.0,4.0,Female,highly_educated,5.0
17230,44.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,8.0,8.0,8.0,9.0,7.0,7.0,7.0,5.0,8.0,6.0,6.0,6.0,8.0,8.0,Female,lower_educated,7.0
17231,85.0,3.0,6.0,1.0,5.0,1.0,5.0,2.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,8.0,Female,lower_educated,6.0
17232,37.0,17.0,1.0,1.0,1.0,2.0,66.0,6.0,6.0,7.0,9.0,8.0,7.0,7.0,7.0,7.0,9.0,8.0,8.0,8.0,7.0,7.0,Male,highly_educated,7.0
17233,49.0,10.0,1.0,1.0,8.0,1.0,8.0,2.0,1.0,6.0,6.0,8.0,6.0,5.0,6.0,5.0,7.0,8.0,7.0,7.0,8.0,6.0,Male,mid_educated,6.0
17234,33.0,17.0,1.0,1.0,6.0,2.0,66.0,6.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,9.0,8.0,8.0,8.0,6.0,5.0,Female,highly_educated,7.0
17235,60.0,16.0,8.0,1.0,6.0,8.0,66.0,6.0,7.0,7.0,5.0,6.0,5.0,5.0,7.0,5.0,8.0,5.0,5.0,5.0,4.0,4.0,Male,highly_educated,6.0
17236,51.0,13.0,1.0,1.0,5.0,2.0,66.0,6.0,7.0,6.0,9.0,8.0,3.0,4.0,4.0,6.0,8.0,2.0,3.0,4.0,6.0,8.0,Male,highly_educated,4.0
17237,32.0,16.0,1.0,1.0,1.0,2.0,66.0,6.0,9.0,4.0,6.0,8.0,3.0,3.0,4.0,6.0,8.0,6.0,4.0,2.0,7.0,5.0,Male,highly_educated,4.0
17238,19.0,4.0,2.0,1.0,3.0,1.0,3.0,3.0,7.0,3.0,6.0,7.0,5.0,5.0,5.0,7.0,7.0,7.0,5.0,8.0,7.0,8.0,Male,lower_educated,4.0
17239,40.0,16.0,1.0,1.0,17.0,2.0,66.0,6.0,8.0,5.0,8.0,7.0,4.0,4.0,6.0,6.0,9.0,8.0,5.0,5.0,6.0,6.0,Male,highly_educated,5.0
17240,48.0,16.0,1.0,1.0,1.0,2.0,66.0,6.0,7.0,7.0,7.0,8.0,6.0,3.0,2.0,4.0,8.0,7.0,7.0,9.0,6.0,5.0,Male,highly_educated,4.0
17241,65.0,7.0,1.0,3.0,17.0,1.0,17.0,4.0,7.0,5.0,7.0,8.0,6.0,5.0,4.0,4.0,8.0,7.0,4.0,6.0,5.0,4.0,Male,mid_educated,5.0
17242,20.0,10.0,1.0,3.0,16.0,1.0,16.0,2.0,10.0,7.0,3.0,8.0,6.0,6.0,7.0,7.0,8.0,4.0,5.0,7.0,9.0,7.0,Female,mid_educated,6.0
17243,63.0,13.0,3.0,1.0,11.0,1.0,11.0,2.0,5.0,5.0,8.0,8.0,6.0,6.0,7.0,8.0,9.0,6.0,6.0,8.0,8.0,8.0,Female,highly_educated,6.0
17244,63.0,4.0,8.0,1.0,8.0,1.0,8.0,3.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0,8.0,7.0,5.0,6.0,6.0,6.0,Female,lower_educated,5.0
17245,70.0,2.0,6.0,1.0,1.0,2.0,66.0,6.0,5.0,4.0,4.0,6.0,4.0,4.0,4.0,5.0,7.0,5.0,4.0,4.0,6.0,6.0,Female,lower_educated,4.0
17246,36.0,17.0,8.0,1.0,6.0,2.0,66.0,6.0,5.0,3.0,6.0,7.0,2.0,2.0,3.0,5.0,8.0,2.0,3.0,8.0,7.0,7.0,Female,highly_educated,2.0
17247,38.0,17.0,1.0,1.0,77.0,1.0,77.0,6.0,7.0,1.0,5.0,7.0,2.0,2.0,0.0,2.0,8.0,5.0,3.0,3.0,5.0,5.0,Female,highly_educated,1.0
17248,20.0,7.0,1.0,1.0,10.0,1.0,10.0,2.0,1.0,3.0,6.0,8.0,3.0,3.0,5.0,8.0,8.0,4.0,4.0,5.0,7.0,9.0,Male,mid_educated,4.0
17249,73.0,4.0,6.0,1.0,1.0,2.0,66.0,6.0,6.0,5.0,7.0,8.0,6.0,5.0,6.0,7.0,8.0,7.0,6.0,6.0,6.0,7.0,Female,lower_educated,6.0
17250,69.0,3.0,6.0,1.0,3.0,1.0,3.0,2.0,7.0,0.0,5.0,5.0,2.0,2.0,3.0,5.0,5.0,5.0,2.0,5.0,5.0,3.0,Female,lower_educated,2.0
17251,63.0,16.0,1.0,1.0,1.0,2.0,66.0,6.0,7.0,6.0,8.0,7.0,5.0,5.0,6.0,7.0,7.0,5.0,4.0,4.0,6.0,8.0,Male,highly_educated,6.0
17252,34.0,9.0,1.0,2.0,3.0,2.0,66.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,7.0,5.0,4.0,5.0,6.0,7.0,Male,mid_educated,5.0
17253,70.0,3.4,6.0,1.0,6.0,1.0,6.0,2.0,5.0,3.0,4.0,9.0,2.0,4.0,6.0,7.0,10.0,3.0,4.0,4.0,4.0,9.0,Male,,4.0
17254,16.0,2.0,2.0,3.0,12.8,2.0,66.0,6.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,2.0,6.0,4.0,5.0,5.0,4.0,5.0,Female,lower_educated,4.0
17255,42.0,13.0,1.0,1.0,10.0,1.0,10.0,2.0,5.0,7.0,8.0,8.0,5.0,5.0,6.0,8.0,8.0,6.0,6.0,6.0,7.0,7.0,Female,highly_educated,6.0
