,respondent,age,education,activity_work,voted,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,ppltrst,pplfair,pplhlp,atchctr,atcherp,gender,educational_level,political_trust
659,17127.0,42.0,16.0,1.0,1.0,7.0,8.0,8.0,6.0,6.0,5.0,8.0,6.0,7.0,6.0,9.0,5.0,Male,highly_educated,6.0
660,17128.0,84.0,2.0,6.0,1.0,7.0,7.0,7.0,8.0,7.0,7.0,6.2,8.0,8.0,8.0,9.0,7.0,Female,lower_educated,7.25
661,17129.0,47.0,16.0,1.0,1.0,6.0,7.0,7.0,6.0,6.0,4.0,7.0,7.0,7.0,5.0,9.0,7.0,Male,highly_educated,5.5
662,17130.0,26.0,14.0,3.0,2.0,6.0,8.0,3.0,5.0,6.0,7.0,7.0,7.0,9.0,6.0,1.0,1.0,Male,highly_educated,6.0
663,17131.0,86.0,7.0,6.0,1.0,4.0,6.0,6.0,3.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,5.0,Male,mid_educated,4.25
664,17132.0,41.0,17.0,8.0,1.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,6.0,6.0,Female,highly_educated,8.0
665,17133.0,65.0,16.0,1.0,1.0,4.0,6.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,8.0,6.0,Female,highly_educated,3.75
666,17134.0,52.0,14.0,1.0,1.0,4.0,5.0,5.0,4.0,3.0,4.0,6.0,6.0,7.0,6.0,9.0,4.0,Male,highly_educated,3.75
667,17135.0,36.0,9.0,8.0,1.0,7.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,8.0,8.0,Female,mid_educated,7.0
668,17136.0,19.0,6.0,2.0,3.0,5.0,7.0,7.0,4.0,5.0,6.0,7.0,6.0,6.0,7.0,7.0,5.0,Female,mid_educated,5.0
669,17137.0,70.0,14.0,6.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,4.0,7.0,3.0,5.0,8.0,Female,highly_educated,0.0
670,17138.0,87.0,17.0,6.0,1.0,7.0,8.0,9.0,7.0,5.0,8.0,6.0,6.0,6.0,7.0,8.0,8.0,Male,highly_educated,6.75
671,17139.0,51.0,16.0,1.0,1.0,8.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,Male,highly_educated,7.75
672,17140.0,38.0,17.0,1.0,2.0,8.0,10.0,10.0,8.0,5.0,10.0,6.0,8.0,8.0,6.0,7.0,7.0,Male,highly_educated,7.75
673,17141.0,59.0,12.0,8.0,1.0,3.0,6.0,7.0,4.0,4.0,4.0,7.0,4.0,6.0,2.0,7.0,6.0,Female,highly_educated,3.75
674,17142.0,68.0,16.0,6.0,1.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,Male,highly_educated,6.0
675,17143.0,46.0,10.0,1.0,1.0,7.0,8.0,8.0,5.0,5.0,7.0,8.0,8.0,9.0,7.0,7.0,6.0,Male,mid_educated,6.0
676,17144.0,17.0,2.0,1.0,3.0,6.0,9.0,9.0,3.0,4.0,4.0,7.0,8.0,8.0,7.0,6.0,5.0,Male,lower_educated,4.25
677,17145.0,77.0,3.0,6.0,1.0,5.0,7.0,7.0,3.0,3.0,3.0,3.0,6.0,8.0,7.0,7.0,7.0,Female,lower_educated,3.5
678,17146.0,43.0,14.0,1.0,1.0,6.0,8.0,6.0,7.0,7.0,8.0,6.0,6.0,5.0,3.0,7.0,7.0,Female,highly_educated,7.0
679,17147.0,52.0,13.0,1.0,1.0,4.0,7.0,8.0,2.0,3.0,5.0,4.0,4.0,5.0,2.0,4.0,8.0,Female,highly_educated,3.5
680,17148.0,23.0,10.0,1.0,1.0,7.0,6.0,5.0,7.0,6.0,7.0,8.0,6.0,2.0,5.0,7.0,7.0,Male,mid_educated,6.75
681,17149.0,54.0,14.0,1.0,1.0,6.0,8.0,8.0,6.0,6.0,6.0,5.0,7.0,7.0,6.0,5.0,7.0,Female,highly_educated,6.0
682,17150.0,24.0,9.0,1.0,1.0,4.0,8.0,10.0,5.0,5.0,6.0,7.0,9.0,8.0,8.0,1.0,1.0,Male,mid_educated,5.0
683,17151.0,57.0,16.0,1.0,1.0,7.0,8.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,Female,highly_educated,6.5
684,17152.0,35.0,14.0,1.0,2.0,1.0,6.0,6.0,0.0,4.0,3.0,6.0,2.0,2.0,1.0,4.0,3.0,Male,highly_educated,2.0
685,17153.0,57.0,4.0,8.0,1.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,Female,lower_educated,6.75
686,17154.0,72.0,17.0,3.0,1.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,9.0,0.0,9.0,6.0,6.0,Female,highly_educated,6.5
687,17155.0,35.0,9.0,1.0,1.0,8.0,8.0,9.0,7.0,7.0,7.0,6.0,7.0,8.0,7.0,9.0,2.0,Female,mid_educated,7.25
688,17156.0,72.0,8.0,1.0,1.0,3.0,2.0,5.0,3.0,2.0,0.0,0.0,6.0,7.0,5.0,8.0,6.0,Male,mid_educated,2.0
689,17157.0,29.0,17.0,1.0,1.0,7.0,9.0,8.0,4.0,5.0,6.0,8.0,8.0,7.0,7.0,7.0,6.0,Female,highly_educated,5.5
